Name,Age Group,Coat Color,Gender,Extraversion,Dominance,Impulsiveness,Agreeableness,Neuroticism,Adopted Prediction
Rocky,Kitten,Orange,Male,3,2,6,5,4,
Lilith,Mature Adult,Tortoiseshell,Female,3,2,2,6,5,
Helios,Kitten,Fawn,Male,5,4,5,4,2,
Taffy,Mature Adult,Gray and White Tabby,Female,6,4,3,8,2,
Missy,Kitten,Black and White,Female,2,1,3,10,2,
Eden,Kitten,Red Tabby,Female,6,6,2,3,2,
Kasumi,Mature Adult,Fawn,Female,6,2,5,7,5,
Arthas,Young Adult,Gray and White,Male,5,1,6,6,3,
Nola,Senior,Torbie,Female,3,1,2,8,2,
Gizmo,Mature Adult,Chocolate Tabby,Female,4,2,5,3,2,
Loki,Kitten,Red Tabby,Male,3,1,2,6,5,
Marshmallow,Senior,Silver Tabby,Female,6,1,8,7,3,
Athena,Mature Adult,Chocolate Tabby,Female,7,3,5,5,2,
Atticus,Mature Adult,Red Tabby,Male,4,3,4,7,3,
Penny,Young Adult,Chocolate and White,Female,5,2,2,8,5,
Winnie,Senior,Cinnamon,Female,1,4,3,4,4,
Freya,Mature Adult,Cream Tabby,Female,8,4,7,8,4,
Pumpkin,Young Adult,Silver Tabby,Female,3,3,6,6,2,
Dolly,Kitten,Gray,Female,6,5,2,3,1,
Poppy,Kitten,Black,Female,5,5,2,10,3,
Celeste,Young Adult,Cinnamon,Female,2,1,3,6,5,
Matty,Mature Adult,Orange,Male,8,5,6,7,1,
Parsnip,Senior,White,Female,5,4,2,3,3,
Ruby,Kitten,Silver Tabby,Female,6,4,7,9,5,
Muffin,Mature Adult,Gray,Female,2,4,5,10,1,
Stella,Senior,Red,Female,5,3,8,4,7,
Shallan,Kitten,Calico,Female,4,5,8,5,5,
Portia,Young Adult,Orange,Female,6,2,9,3,5,
Jerry,Young Adult,Black,Male,1,6,5,7,1,
Nelson,Mature Adult,Gray and White,Male,8,3,6,7,4,
Chester,Young Adult,Fawn,Male,5,1,3,8,6,
