Name,Age Group,Coat Color,Gender,Extraversion,Dominance,Impulsiveness,Agreeableness,Neuroticism,Adopted,Weighted Score,Adoption Probability
Austin,Senior,Gray,Male,4,5,4,4,4,No,0.9999999999999999,38.89
Minerva,Senior,Fawn,Female,3,4,4,4,4,No,0.8000000000000002,33.33
Latte,Kitten,Red,Male,5,5,4,4,4,Yes,1.4,50.0
Smudge,Senior,Red Tabby,Male,4,5,3,3,4,No,0.7999999999999999,33.33
Neil,Senior,Chocolate,Male,4,4,4,5,3,Yes,1.5999999999999999,55.56
Natasha,Young Adult,Chocolate and White,Female,4,4,4,4,3,No,1.3,47.22
Romeo,Senior,Cream,Male,4,6,4,4,4,No,0.7999999999999997,33.33
Oliver,Senior,Cream Tabby,Male,5,4,4,4,6,Yes,1.4,50.0
Sushi,Mature Adult,Chocolate,Male,3,4,3,3,3,No,0.7,30.56
Buttercup,Young Adult,Chocolate Tabby,Female,4,3,3,4,5,Yes,1.4,50.0
Charlie,Young Adult,Chocolate and White,Male,4,3,5,5,3,Yes,1.7,58.33
Cash,Kitten,Red Tabby,Male,3,5,3,4,3,No,0.8,33.33
Nibbler,Mature Adult,Gray Tabby,Male,5,4,5,5,2,Yes,2.0,66.67
Furman,Kitten,Black and White,Male,4,3,4,4,4,Yes,1.4,50.0
Libby,Young Adult,Orange and White,Female,5,3,5,5,2,Yes,2.1999999999999997,72.22
Norbert,Mature Adult,Chocolate,Male,5,4,4,6,2,Yes,2.3999999999999995,77.78
Avery,Young Adult,Gray and White Tabby,Female,4,5,3,3,5,No,0.7,30.56
Gilly,Young Adult,Calico,Female,4,5,5,5,4,No,1.2000000000000002,44.44
Dora,Mature Adult,Orange and White,Female,4,4,4,4,3,No,1.3,47.22
Binx,Young Adult,Red Tabby,Male,4,3,4,4,4,Yes,1.4,50.0
Blossom,Senior,Tortoiseshell,Female,4,4,4,4,3,No,1.3,47.22
Anders,Kitten,White,Male,5,4,4,5,5,Yes,1.7999999999999998,61.11
Marshmallow,Senior,Gray and White,Female,4,3,4,5,4,Yes,1.7000000000000002,58.33
Agatha,Kitten,Orange,Female,4,4,3,4,4,No,1.2999999999999998,47.22
Gypsy,Senior,Lilac,Female,5,3,4,5,3,Yes,2.2,72.22
Snickers,Young Adult,Dilute Calico,Female,5,4,3,5,3,Yes,2.0999999999999996,69.44
Anna,Young Adult,Chocolate,Female,5,3,4,4,3,Yes,1.8999999999999997,63.89
Cleo,Senior,Black,Female,4,4,4,4,4,No,1.2000000000000002,44.44
Lilo,Senior,Chocolate,Female,4,3,3,4,5,Yes,1.4,50.0
Jinxy,Senior,Dilute Calico,Female,5,5,5,4,4,No,1.2999999999999998,47.22
George,Young Adult,Gray Tabby,Male,4,5,4,5,3,Yes,1.4000000000000001,50.0
Latte,Kitten,Black and White,Male,4,5,4,5,4,No,1.3000000000000003,47.22
Felicity,Young Adult,Gray Tabby,Female,5,4,4,5,3,Yes,1.9999999999999998,66.67
Luna,Mature Adult,Dilute Calico,Female,5,4,6,5,4,Yes,1.6999999999999997,58.33
Snickers,Kitten,Lilac Tortoiseshell,Female,4,4,4,5,3,Yes,1.5999999999999999,55.56
Adolin,Mature Adult,Cream,Male,4,4,4,4,5,No,1.1,41.67
Penny,Kitten,Black,Female,5,3,4,5,3,Yes,2.2,72.22
Bilbo,Kitten,Gray and White Tabby,Male,5,6,4,5,4,Yes,1.5,52.78
Bilbo,Mature Adult,Gray,Male,5,4,3,4,3,Yes,1.7999999999999996,61.11
Austin,Mature Adult,Gray Tabby,Male,5,3,6,5,3,Yes,1.9999999999999998,66.67
Anders,Mature Adult,Gray Tabby,Male,5,5,3,5,3,Yes,1.9000000000000001,63.89
Garrus,Kitten,White,Male,4,3,3,5,3,Yes,1.9000000000000001,63.89
Liara,Kitten,Dilute Calico,Female,5,3,4,4,4,Yes,1.7999999999999998,61.11
Rogue,Senior,Chocolate,Female,4,3,3,5,2,Yes,2.0,66.67
